workload,binding,unit,launches,source_ids,op_types,ccnt,tail,evt_active,evt_sram_rd,evt_sram_wr,evt_ext_rd,evt_ext_wr
vww4_128_128_INT8,256_Low,7,2,-1 6,DepthwiseConv2D KERNEL_WAIT,4015,0,4014,3575,899,31,0
vww4_128_128_INT8,256_Low,8,1,7,Conv2D,4015,0,4014,1483,1170,33,0
vww4_128_128_INT8,256_Low,9,2,-1 8,Conv2D KERNEL_WAIT,4015,0,4014,1410,971,40,0
vww4_128_128_INT8,256_Low,10,1,9,DepthwiseConv2D,4015,0,4014,762,948,4,0
vww4_128_128_INT8,256_Low,11,1,10,Conv2D,5015,0,5014,1023,1273,4,0
vww4_128_128_INT8,256_Low,12,1,11,Pad,3015,0,3014,640,825,102,0
vww4_128_128_INT8,256_Low,13,1,11,Pad,3015,0,3014,464,1126,338,0
vww4_128_128_INT8,256_Low,14,1,12,Add,4015,0,4014,1912,954,50,0
vww4_128_128_INT8,256_Low,15,2,-1 13,Conv2D KERNEL_WAIT,8015,0,8014,2272,2162,122,0
vww4_128_128_INT8,256_Low,16,1,14,DepthwiseConv2D,3015,0,3014,2355,840,255,0
vww4_128_128_INT8,256_Low,17,2,-1 15,Conv2D KERNEL_WAIT,2015,0,2014,725,556,105,0
vww4_128_128_INT8,256_Low,18,1,16,Conv2D,7015,0,7014,2438,1819,339,0
vww4_128_128_INT8,256_Low,19,1,17,DepthwiseConv2D,6015,0,6014,1157,1392,17,0
vww4_128_128_INT8,256_Low,20,1,18,Conv2D,4015,0,4014,2062,746,4,0
vww4_128_128_INT8,256_Low,21,1,19,Pad,2015,0,2014,128,467,72,0
vww4_128_128_INT8,256_Low,22,1,19,Pad,1015,0,1014,288,352,260,0
vww4_128_128_INT8,256_Low,23,1,20,Add,2015,0,2014,1039,564,120,0
vww4_128_128_INT8,256_Low,24,1,21,Conv2D,5015,0,5014,1677,1056,0,0
vww4_128_128_INT8,256_Low,25,1,21,Conv2D,3015,0,3014,1564,827,347,0
vww4_128_128_INT8,256_Low,26,1,22,DepthwiseConv2D,7015,0,7014,1480,1440,17,0
vww4_128_128_INT8,256_Low,27,1,23,Conv2D,3015,0,3014,1513,568,4,0
vww4_128_128_INT8,256_Low,28,1,24,Pad,2015,0,2014,288,607,88,0
vww4_128_128_INT8,256_Low,29,1,24,Pad,1015,0,1014,480,520,298,0
vww4_128_128_INT8,256_Low,30,1,25,Add,2015,0,2014,949,618,274,0
vww4_128_128_INT8,256_Low,31,1,26,Conv2D,6015,0,6014,1856,1344,8,0
vww4_128_128_INT8,256_Low,32,1,26,Conv2D,5015,0,5014,2574,1339,252,0
vww4_128_128_INT8,256_Low,33,2,-1 27,DepthwiseConv2D KERNEL_WAIT,3015,0,3014,1928,1013,477,0
vww4_128_128_INT8,256_Low,34,1,28,Conv2D,2015,0,2014,874,160,157,0
vww4_128_128_INT8,256_Low,35,1,29,Conv2D,5015,0,5014,1047,1664,1681,0
vww4_128_128_INT8,256_Low,36,1,30,DepthwiseConv2D,5015,0,5014,1417,1235,285,0
vww4_128_128_INT8,256_Low,37,1,31,Conv2D,3015,0,3014,1373,351,15,0
vww4_128_128_INT8,256_Low,38,2,32,Pad,1015,0,1014,368,284,28,0
vww4_128_128_INT8,256_Low,39,1,33,Add,1015,0,1014,322,120,176,0
vww4_128_128_INT8,256_Low,40,1,34,Conv2D,6015,0,6014,1088,2112,1919,0
vww4_128_128_INT8,256_Low,41,1,35,DepthwiseConv2D,4015,0,4014,1282,1015,268,0
vww4_128_128_INT8,256_Low,42,1,36,Conv2D,4015,0,4014,1934,361,8,0
vww4_128_128_INT8,256_Low,43,2,37,Pad,1015,0,1014,241,328,48,0
vww4_128_128_INT8,256_Low,44,1,38,Add,1015,0,1014,638,216,14,0
vww4_128_128_INT8,256_Low,45,1,39,Conv2D,6015,0,6014,1091,1943,2048,0
vww4_128_128_INT8,256_Low,46,1,40,DepthwiseConv2D,5015,0,5014,1328,1051,282,0
vww4_128_128_INT8,256_Low,47,1,41,Conv2D,4015,0,4014,1577,531,24,0
vww4_128_128_INT8,256_Low,48,2,42,Pad,1015,0,1014,601,213,32,0
vww4_128_128_INT8,256_Low,49,1,43,Add,1015,0,1014,298,144,250,0
vww4_128_128_INT8,256_Low,50,1,44,Conv2D,3015,0,3014,652,752,742,0
vww4_128_128_INT8,256_Low,51,1,45,DepthwiseConv2D,4015,0,4014,869,720,470,0
vww4_128_128_INT8,256_Low,52,1,46,Conv2D,4015,0,4014,320,320,876,0
vww4_128_128_INT8,256_Low,53,1,47,Conv2D,5015,0,5014,704,792,863,0
vww4_128_128_INT8,256_Low,54,1,48,DepthwiseConv2D,3015,0,3014,329,611,66,0
vww4_128_128_INT8,256_Low,55,2,49 50,Add Conv2D,5015,0,5014,989,320,892,0
vww4_128_128_INT8,256_Low,56,1,51,Conv2D,5015,0,5014,610,912,1214,0
vww4_128_128_INT8,256_Low,57,1,52,DepthwiseConv2D,4015,0,4014,993,1083,593,0
vww4_128_128_INT8,256_Low,58,1,53,Conv2D,3015,0,3014,1142,344,84,0
vww4_128_128_INT8,256_Low,59,1,54,Pad,1015,0,1014,0,161,108,0
vww4_128_128_INT8,256_Low,60,1,54,Pad,1015,0,1014,586,221,8,0
vww4_128_128_INT8,256_Low,61,1,55,Add,1015,0,1014,361,96,0,0
vww4_128_128_INT8,256_Low,62,1,56,Conv2D,9015,0,9014,1152,1276,1966,0
vww4_128_128_INT8,256_Low,63,1,57,DepthwiseConv2D,3015,0,3014,288,160,422,0
vww4_128_128_INT8,256_Low,64,1,58,Conv2D,1015,0,1014,16,76,200,0
vww4_128_128_INT8,256_Low,65,1,59,Conv2D,1015,0,1014,96,80,125,0
vww4_128_128_INT8,256_Low,66,1,60,DepthwiseConv2D,2015,0,2014,112,48,156,0
vww4_128_128_INT8,256_Low,67,2,61 62,Add Conv2D,1015,0,1014,16,68,199,0
vww4_128_128_INT8,256_Low,68,1,63,Conv2D,1015,0,1014,96,80,114,0
vww4_128_128_INT8,256_Low,69,1,64,DepthwiseConv2D,1015,0,1014,112,52,234,0
vww4_128_128_INT8,256_Low,70,4,65 66 67,Add Conv2D Pad,2015,0,2014,96,96,76,0
vww4_128_128_INT8,256_Low,71,1,68,Conv2D,2015,0,2014,96,140,465,0
vww4_128_128_INT8,256_Low,72,1,69,DepthwiseConv2D,1015,0,1014,96,64,247,0
vww4_128_128_INT8,256_Low,73,1,70,Conv2D,1015,0,1014,28,16,14,0
