workload,binding_pair,source_id,op_identity,launches_256,launches_512,sched_joined_256,sched_joined_512
rnnoise_INT8,B-held,35,Sub|1x1x48|1x1|34,1,1,1,1
rnnoise_INT8,B-held,36,Add|1x1x48|1x1|35,1,1,1,1
rnnoise_INT8,B-held,38,Mul|1x1x48|1x1|37,1,1,0,0
rnnoise_INT8,B-held,39,Add|1x1x48|1x1|38,1,1,1,1
rnnoise_INT8,B-held,40,Mul|1x1x48|1x1|39,1,1,1,1
rnnoise_INT8,B-held,41,Add|1x1x48|1x1|40,1,1,0,0
rnnoise_INT8,B-held,42,Pack|1x1x48|1x1|41,1,1,0,0
rnnoise_INT8,B-held,43,Quantize|1x1x48|1x1|42,1,1,1,1
rnnoise_INT8,B-held,44,Quantize|1x1x24|1x1|43,1,1,1,1
rnnoise_INT8,B-held,45,Concat|1x1x114|1x1|44,3,3,0,0
rnnoise_INT8,B-held,47,FullyConnected|1x1x288|1x1|46,1,1,1,1
rnnoise_INT8,B-held,49,Add|1x1x96|1x1|48,1,1,1,1
rnnoise_INT8,B-held,51,Mul|1x1x96|1x1|50,1,1,0,0
rnnoise_INT8,B-held,52,Sub|1x1x96|1x1|51,1,1,1,1
rnnoise_INT8,B-held,53,Add|1x1x96|1x1|52,1,1,1,1
rnnoise_INT8,B-held,55,Mul|1x1x96|1x1|54,1,1,0,0
rnnoise_INT8,B-held,56,Add|1x1x96|1x1|55,1,1,1,1
rnnoise_INT8,B-held,58,Mul|1x1x96|1x1|57,1,1,1,1
rnnoise_INT8,B-held,59,Add|1x1x96|1x1|58,1,1,0,0
rnnoise_INT8,B-held,60,Pack|1x1x96|1x1|59,1,1,0,0
rnnoise_INT8,B-held,62,FullyConnected|1x1x22|1x1|61,1,1,1,1
rnnoise_INT8,B-held,65,Reshape|1x1x24|1x1|64,1,1,0,0
rnnoise_INT8,B-held,66,FullyConnected|1x1x1|1x1|65,1,1,1,1
vww4_128_128_INT8,B-frozen,1,Conv2D|64x64x8|1x1|0,1,1,1,1
vww4_128_128_INT8,B-frozen,2,Conv2D|64x64x4|1x1|1,2,2,1,1
vww4_128_128_INT8,B-frozen,3,DepthwiseConv2D|64x64x4|1x1|2,2,2,1,1
vww4_128_128_INT8,B-frozen,4,Conv2D|64x64x4|1x1|3,1,1,1,1
vww4_128_128_INT8,B-frozen,5,Conv2D|64x64x8|1x1|4,1,1,1,1
vww4_128_128_INT8,B-frozen,6,DepthwiseConv2D|32x32x8|1x1|5,1,1,1,1
vww4_128_128_INT8,B-frozen,7,Conv2D|32x32x12|1x1|6,1,1,1,1
vww4_128_128_INT8,B-frozen,8,Conv2D|32x32x14|1x1|7,1,1,1,1
vww4_128_128_INT8,B-frozen,9,DepthwiseConv2D|32x32x14|1x1|8,1,1,1,1
vww4_128_128_INT8,B-frozen,10,Conv2D|32x32x16|1x1|9,1,1,1,1
vww4_128_128_INT8,B-frozen,11,Pad|32x32x16|1x1|10,2,2,0,0
vww4_128_128_INT8,B-frozen,12,Add|32x32x16|1x1|11,1,1,1,1
vww4_128_128_INT8,B-frozen,13,Conv2D|32x32x28|1x1|12,1,1,1,1
vww4_128_128_INT8,B-frozen,14,DepthwiseConv2D|16x16x28|1x1|13,1,1,1,1
vww4_128_128_INT8,B-frozen,15,Conv2D|16x16x32|1x1|14,1,1,1,1
vww4_128_128_INT8,B-frozen,16,Conv2D|16x16x96|1x1|15,1,1,1,1
vww4_128_128_INT8,B-frozen,17,DepthwiseConv2D|16x16x96|1x1|16,1,1,1,1
vww4_128_128_INT8,B-frozen,18,Conv2D|16x16x28|1x1|17,1,1,1,1
vww4_128_128_INT8,B-frozen,19,Pad|16x16x32|1x1|18,2,2,0,0
vww4_128_128_INT8,B-frozen,20,Add|16x16x32|1x1|19,1,1,1,1
