workload,binding_pair,source_id,op_identity,op_type,launches_256,launches_512,cycles_256,cycles_512,separable,observed_direction,tail_in_op_256,tail_in_op_512,vela_cycles_256,vela_cycles_512,ublock_256,ublock_512,block_256,block_512,stripes_256,stripes_512,cascade_256,cascade_512,UBLOCK_CHANGED,BLOCK_CONFIG_CHANGED,TILE_GEOMETRY_CHANGED,MEMORY_PLACEMENT_CHANGED,COMMAND_OR_PASS_STRUCTURE_CHANGED,active_512,sram_rd_512,sram_wr_512,ext_rd_512,ext_wr_512,active_256,sram_rd_256,sram_wr_256,ext_rd_256,ext_wr_256
rnnoise_INT8,B-frozen,22,Mul|1x1x24|1x1|21,Mul,1,1,,,0,NOT_SEPARATED,0,0,16,8,"[1, 2, 16]","[2, 2, 16]","OFM[1, 64, 32] IFM[1, 64, 32]","OFM[2, 128, 32] IFM[2, 128, 32]","IFM[1, 1, 1, 24] OFM[1, 1, 1, 24]","IFM[1, 1, 1, 24] OFM[1, 1, 1, 24]",0,0,1,1,0,0,0,,,,,,,,,,
rnnoise_INT8,B-frozen,23,Mul|1x1x24|1x1|22,Mul,1,1,,,0,NOT_SEPARATED,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,
rnnoise_INT8,B-frozen,24,Add|1x1x24|1x1|23,Add,1,1,,,0,NOT_SEPARATED,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,
rnnoise_INT8,B-frozen,25,Pack|1x1x24|1x1|24,Pack,1,1,,,0,NOT_SEPARATED,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,
rnnoise_INT8,B-frozen,26,Quantize|1x1x24|1x1|25,Quantize,1,1,,,0,NOT_SEPARATED,0,0,406,398,"[1, 2, 16]","[2, 2, 16]","OFM[1, 2, 32] IFM[1, 1, 2, 32]","OFM[2, 2, 32] IFM[1, 2, 2, 32]","IFM[1, 1, 1, 24] OFM[1, 1, 1, 24]","IFM[1, 1, 1, 24] OFM[1, 1, 1, 24]",0,0,1,1,0,0,0,,,,,,,,,,
rnnoise_INT8,B-frozen,27,Quantize|1x1x24|1x1|26,Quantize,1,1,,,0,NOT_SEPARATED,0,0,406,398,"[1, 2, 16]","[2, 2, 16]","OFM[1, 2, 32] IFM[1, 1, 2, 32]","OFM[2, 2, 32] IFM[1, 2, 2, 32]","IFM[1, 1, 1, 24] OFM[1, 1, 1, 24]","IFM[1, 1, 1, 24] OFM[1, 1, 1, 24]",0,0,1,1,0,0,0,,,,,,,,,,
rnnoise_INT8,B-frozen,28,Concat|1x1x90|1x1|27,Concat,3,3,,,0,NOT_SEPARATED,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,
rnnoise_INT8,B-frozen,30,FullyConnected|1x1x144|1x1|29,FullyConnected,1,1,,,0,NOT_SEPARATED,0,0,4033,4005,"[1, 4, 8]","[2, 2, 16]","OFM[1, 1, 4, 144] IFM[1, 1, 4, 64]","OFM[1, 2, 2, 144] IFM[1, 2, 2, 64]","IFM[1, 1, 1, 90] OFM[1, 1, 1, 144]","IFM[1, 1, 1, 90] OFM[1, 1, 1, 144]",0,0,1,1,0,0,0,,,,,,,,,,
rnnoise_INT8,B-frozen,32,Add|1x1x48|1x1|31,Add,1,1,,1015,0,NOT_SEPARATED,0,0,12,6,"[1, 2, 16]","[2, 2, 16]","OFM[1, 42, 48] IFM[1, 42, 48]","OFM[2, 86, 48] IFM[2, 86, 48]","IFM[1, 1, 1, 48] OFM[1, 1, 1, 48]","IFM[1, 1, 1, 48] OFM[1, 1, 1, 48]",0,0,1,1,0,0,0,1014,0,0,16,3,,,,,
rnnoise_INT8,B-frozen,34,Mul|1x1x48|1x1|33,Mul,1,1,,,0,NOT_SEPARATED,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,
rnnoise_INT8,B-frozen,35,Sub|1x1x48|1x1|34,Sub,1,1,,,0,NOT_SEPARATED,0,0,24,12,"[1, 2, 16]","[2, 2, 16]","OFM[1, 42, 48] IFM[1, 42, 48]","OFM[2, 86, 48] IFM[2, 86, 48]","IFM[1, 1, 1, 48] OFM[1, 1, 1, 48]","IFM[1, 1, 1, 48] OFM[1, 1, 1, 48]",0,0,1,1,0,0,0,,,,,,,,,,
rnnoise_INT8,B-frozen,36,Add|1x1x48|1x1|35,Add,1,1,,,0,NOT_SEPARATED,0,0,24,12,"[1, 2, 16]","[2, 2, 16]","OFM[1, 42, 48] IFM[1, 42, 48]","OFM[2, 86, 48] IFM[2, 86, 48]","IFM[1, 1, 1, 48] OFM[1, 1, 1, 48]","IFM[1, 1, 1, 48] OFM[1, 1, 1, 48]",0,0,1,1,0,0,0,,,,,,,,,,
rnnoise_INT8,B-frozen,38,Mul|1x1x48|1x1|37,Mul,1,1,,,0,NOT_SEPARATED,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,
rnnoise_INT8,B-frozen,39,Add|1x1x48|1x1|38,Add,1,1,,,0,NOT_SEPARATED,0,0,12,6,"[1, 2, 16]","[2, 2, 16]","OFM[1, 42, 48] IFM[1, 42, 48]","OFM[2, 86, 48] IFM[2, 86, 48]","IFM[1, 1, 1, 48] OFM[1, 1, 1, 48]","IFM[1, 1, 1, 48] OFM[1, 1, 1, 48]",0,0,1,1,0,0,0,,,,,,,,,,
rnnoise_INT8,B-frozen,40,Mul|1x1x48|1x1|39,Mul,1,1,,,0,NOT_SEPARATED,0,0,24,12,"[1, 2, 16]","[2, 2, 16]","OFM[1, 42, 48] IFM[1, 42, 48]","OFM[2, 86, 48] IFM[2, 86, 48]","IFM[1, 1, 1, 48] OFM[1, 1, 1, 48]","IFM[1, 1, 1, 48] OFM[1, 1, 1, 48]",0,0,1,1,0,0,0,,,,,,,,,,
rnnoise_INT8,B-frozen,41,Add|1x1x48|1x1|40,Add,1,1,,,0,NOT_SEPARATED,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,
rnnoise_INT8,B-frozen,42,Pack|1x1x48|1x1|41,Pack,1,1,,,0,NOT_SEPARATED,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,
rnnoise_INT8,B-frozen,43,Quantize|1x1x48|1x1|42,Quantize,1,1,,,0,NOT_SEPARATED,0,0,423,410,"[1, 2, 16]","[2, 2, 16]","OFM[1, 2, 48] IFM[1, 1, 2, 64]","OFM[2, 2, 48] IFM[1, 2, 2, 64]","IFM[1, 1, 1, 48] OFM[1, 1, 1, 48]","IFM[1, 1, 1, 48] OFM[1, 1, 1, 48]",0,0,1,1,0,0,0,,,,,,,,,,
rnnoise_INT8,B-frozen,44,Quantize|1x1x24|1x1|43,Quantize,1,1,,,0,NOT_SEPARATED,0,0,406,398,"[1, 2, 16]","[2, 2, 16]","OFM[1, 2, 32] IFM[1, 1, 2, 32]","OFM[2, 2, 32] IFM[1, 2, 2, 32]","IFM[1, 1, 1, 24] OFM[1, 1, 1, 24]","IFM[1, 1, 1, 24] OFM[1, 1, 1, 24]",0,0,1,1,0,0,0,,,,,,,,,,
rnnoise_INT8,B-frozen,45,Concat|1x1x114|1x1|44,Concat,3,3,,,0,NOT_SEPARATED,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,
rnnoise_INT8,B-frozen,47,FullyConnected|1x1x288|1x1|46,FullyConnected,1,1,,9015,0,NOT_SEPARATED,0,0,7929,7929,"[1, 4, 8]","[2, 2, 16]","OFM[1, 1, 4, 288] IFM[1, 1, 4, 64]","OFM[1, 2, 2, 288] IFM[1, 2, 2, 64]","IFM[1, 1, 1, 114] OFM[1, 1, 1, 288]","IFM[1, 1, 1, 114] OFM[1, 1, 1, 288]",0,0,1,1,0,0,0,9014,3,18,2562,0,,,,,
rnnoise_INT8,B-frozen,49,Add|1x1x96|1x1|48,Add,1,1,1015,,0,NOT_SEPARATED,0,0,24,12,"[1, 2, 16]","[2, 2, 16]","OFM[1, 22, 96] IFM[1, 22, 96]","OFM[2, 42, 96] IFM[2, 42, 96]","IFM[1, 1, 1, 96] OFM[1, 1, 1, 96]","IFM[1, 1, 1, 96] OFM[1, 1, 1, 96]",0,0,1,1,0,0,0,,,,,,1014,14,0,41,8
rnnoise_INT8,B-frozen,51,Mul|1x1x96|1x1|50,Mul,1,1,,,0,NOT_SEPARATED,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,
rnnoise_INT8,B-frozen,52,Sub|1x1x96|1x1|51,Sub,1,1,,,0,NOT_SEPARATED,0,0,48,24,"[1, 2, 16]","[2, 2, 16]","OFM[1, 22, 96] IFM[1, 22, 96]","OFM[2, 42, 96] IFM[2, 42, 96]","IFM[1, 1, 1, 96] OFM[1, 1, 1, 96]","IFM[1, 1, 1, 96] OFM[1, 1, 1, 96]",0,0,1,1,0,0,0,,,,,,,,,,
rnnoise_INT8,B-frozen,53,Add|1x1x96|1x1|52,Add,1,1,,,0,NOT_SEPARATED,0,0,48,24,"[1, 2, 16]","[2, 2, 16]","OFM[1, 22, 96] IFM[1, 22, 96]","OFM[2, 42, 96] IFM[2, 42, 96]","IFM[1, 1, 1, 96] OFM[1, 1, 1, 96]","IFM[1, 1, 1, 96] OFM[1, 1, 1, 96]",0,0,1,1,0,0,0,,,,,,,,,,
rnnoise_INT8,B-frozen,55,Mul|1x1x96|1x1|54,Mul,1,1,,,0,NOT_SEPARATED,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,
rnnoise_INT8,B-frozen,56,Add|1x1x96|1x1|55,Add,1,1,,,0,NOT_SEPARATED,0,0,24,12,"[1, 2, 16]","[2, 2, 16]","OFM[1, 22, 96] IFM[1, 22, 96]","OFM[2, 42, 96] IFM[2, 42, 96]","IFM[1, 1, 1, 96] OFM[1, 1, 1, 96]","IFM[1, 1, 1, 96] OFM[1, 1, 1, 96]",0,0,1,1,0,0,0,,,,,,,,,,
rnnoise_INT8,B-frozen,58,Mul|1x1x96|1x1|57,Mul,1,1,,,0,NOT_SEPARATED,0,0,48,24,"[1, 2, 16]","[2, 2, 16]","OFM[1, 22, 96] IFM[1, 22, 96]","OFM[2, 42, 96] IFM[2, 42, 96]","IFM[1, 1, 1, 96] OFM[1, 1, 1, 96]","IFM[1, 1, 1, 96] OFM[1, 1, 1, 96]",0,0,1,1,0,0,0,,,,,,,,,,
rnnoise_INT8,B-frozen,59,Add|1x1x96|1x1|58,Add,1,1,,,0,NOT_SEPARATED,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,
rnnoise_INT8,B-frozen,60,Pack|1x1x96|1x1|59,Pack,1,1,,1015,0,NOT_SEPARATED,0,0,,,,,,,,,,,,,,,0,1014,0,0,53,6,,,,,
