accelerator_config,cpu_operator_pct,cpu_operators,mac_config,memory_mode,model,model_sha256,npu,npu_operators,output_artifact,output_sha256,platform,success,system_config,vela_args,vela_core_clock,vela_cycles_dram_access,vela_cycles_npu,vela_cycles_sram_access,vela_cycles_total,vela_dram_memory_used,vela_dram_total_bytes,vela_inference_time,vela_sram_memory_used,vela_sram_total_bytes,vela_total_npu_encoded_weights,vela_version
ethos-u65-256,0.0,0,256,Dedicated_Sram,rnnoise_INT8,9c582545b7c13af44616c44b654f4fe721aa2585630b0ca173ca3589f6f11c2c,ethos-u65,48,rnnoise_INT8_vela.tflite,adbda150d7ef0c99ce65f699bb0dbc818fa50b6ea073c0386c472187a3af1b33,SSE-310,True,Ethos_U65_High_End,--accelerator-config ethos-u65-256 --config /opt/arm/ml-embedded-evaluation-kit/scripts/vela/default_vela.ini --system-config Ethos_U65_High_End --memory-mode Dedicated_Sram --optimise Performance --output-dir /tmp/vela_matrix/rnnoise_INT8__SSE-310__ethos-u65-256 /opt/arm/ml-embedded-evaluation-kit/resources_downloaded/noise_reduction/rnnoise_INT8.tflite,1000000000.0,29798,32738,444,37132,106.265625,111781,3.7132e-05,0.6875,7122,95136,5.0.0
ethos-u65-512,0.0,0,512,Dedicated_Sram,rnnoise_INT8,9c582545b7c13af44616c44b654f4fe721aa2585630b0ca173ca3589f6f11c2c,ethos-u65,48,rnnoise_INT8_vela.tflite,13c2f7daab192e34784b571eb97cea752005b3969cda1135dd637fd73306cbb7,SSE-310,True,Ethos_U65_High_End,--accelerator-config ethos-u65-512 --config /opt/arm/ml-embedded-evaluation-kit/scripts/vela/default_vela.ini --system-config Ethos_U65_High_End --memory-mode Dedicated_Sram --optimise Performance --output-dir /tmp/vela_matrix/rnnoise_INT8__SSE-310__ethos-u65-512 /opt/arm/ml-embedded-evaluation-kit/resources_downloaded/noise_reduction/rnnoise_INT8.tflite,1000000000.0,29617,28849,368,35624,106.625,111098,3.5624e-05,0.6875,5934,95456,5.0.0
ethos-u65-256,0.0,0,256,Dedicated_Sram,rnnoise_INT8,9c582545b7c13af44616c44b654f4fe721aa2585630b0ca173ca3589f6f11c2c,ethos-u65,48,rnnoise_INT8_vela.tflite,adbda150d7ef0c99ce65f699bb0dbc818fa50b6ea073c0386c472187a3af1b33,SSE-315,True,Ethos_U65_High_End,--accelerator-config ethos-u65-256 --config /opt/arm/ml-embedded-evaluation-kit/scripts/vela/default_vela.ini --system-config Ethos_U65_High_End --memory-mode Dedicated_Sram --optimise Performance --output-dir /tmp/vela_matrix/rnnoise_INT8__SSE-315__ethos-u65-256 /opt/arm/ml-embedded-evaluation-kit/resources_downloaded/noise_reduction/rnnoise_INT8.tflite,1000000000.0,29798,32738,444,37132,106.265625,111781,3.7132e-05,0.6875,7122,95136,5.0.0
ethos-u65-512,0.0,0,512,Dedicated_Sram,rnnoise_INT8,9c582545b7c13af44616c44b654f4fe721aa2585630b0ca173ca3589f6f11c2c,ethos-u65,48,rnnoise_INT8_vela.tflite,13c2f7daab192e34784b571eb97cea752005b3969cda1135dd637fd73306cbb7,SSE-315,True,Ethos_U65_High_End,--accelerator-config ethos-u65-512 --config /opt/arm/ml-embedded-evaluation-kit/scripts/vela/default_vela.ini --system-config Ethos_U65_High_End --memory-mode Dedicated_Sram --optimise Performance --output-dir /tmp/vela_matrix/rnnoise_INT8__SSE-315__ethos-u65-512 /opt/arm/ml-embedded-evaluation-kit/resources_downloaded/noise_reduction/rnnoise_INT8.tflite,1000000000.0,29617,28849,368,35624,106.625,111098,3.5624e-05,0.6875,5934,95456,5.0.0
ethos-u85-128,0.0,0,128,Dedicated_Sram,rnnoise_INT8,9c582545b7c13af44616c44b654f4fe721aa2585630b0ca173ca3589f6f11c2c,ethos-u85,39,rnnoise_INT8_vela.tflite,a41290173171ac803fa6d21fc48c36d335bae3bf9d966a10bab98d689105f321,SSE-320,True,Ethos_U85_SYS_DRAM_Low,--accelerator-config ethos-u85-128 --config /opt/arm/ml-embedded-evaluation-kit/scripts/vela/default_vela.ini --system-config Ethos_U85_SYS_DRAM_Low --memory-mode Dedicated_Sram --optimise Performance --output-dir /tmp/vela_matrix/rnnoise_INT8__SSE-320__ethos-u85-128 /opt/arm/ml-embedded-evaluation-kit/resources_downloaded/noise_reduction/rnnoise_INT8.tflite,500000000.0,36033,31743,307,38312,112.125,114928,7.6624e-05,0.6875,9956,100560,5.0.0
ethos-u85-256,0.0,0,256,Dedicated_Sram,rnnoise_INT8,9c582545b7c13af44616c44b654f4fe721aa2585630b0ca173ca3589f6f11c2c,ethos-u85,39,rnnoise_INT8_vela.tflite,8f342f545a9a9e1da4493fa2f73ff5779785fa5a0c7f6bfac2096153f1b2116e,SSE-320,True,Ethos_U85_SYS_DRAM_Low,--accelerator-config ethos-u85-256 --config /opt/arm/ml-embedded-evaluation-kit/scripts/vela/default_vela.ini --system-config Ethos_U85_SYS_DRAM_Low --memory-mode Dedicated_Sram --optimise Performance --output-dir /tmp/vela_matrix/rnnoise_INT8__SSE-320__ethos-u85-256 /opt/arm/ml-embedded-evaluation-kit/resources_downloaded/noise_reduction/rnnoise_INT8.tflite,500000000.0,35828,31324,256,37836,112.125,114928,7.5672e-05,0.6875,8340,100560,5.0.0
ethos-u85-512,0.0,0,512,Dedicated_Sram,rnnoise_INT8,9c582545b7c13af44616c44b654f4fe721aa2585630b0ca173ca3589f6f11c2c,ethos-u85,39,rnnoise_INT8_vela.tflite,12087f72b6dce2e03b1146f11dcd5e1c254f1ed6f737bc5df22c8ab0dbdf335c,SSE-320,True,Ethos_U85_SYS_DRAM_Mid_512,--accelerator-config ethos-u85-512 --config /opt/arm/ml-embedded-evaluation-kit/scripts/vela/default_vela.ini --system-config Ethos_U85_SYS_DRAM_Mid_512 --memory-mode Dedicated_Sram --optimise Performance --output-dir /tmp/vela_matrix/rnnoise_INT8__SSE-320__ethos-u85-512 /opt/arm/ml-embedded-evaluation-kit/resources_downloaded/noise_reduction/rnnoise_INT8.tflite,1000000000.0,27359,31244,228,31846,112.59375,114648,3.1846e-05,0.6875,5804,101040,5.0.0
ethos-u85-1024,0.0,0,1024,Dedicated_Sram,rnnoise_INT8,9c582545b7c13af44616c44b654f4fe721aa2585630b0ca173ca3589f6f11c2c,ethos-u85,39,rnnoise_INT8_vela.tflite,5bc1ee088fd731dbb9fed4a0d8ddcea92c11600e82b5041371149465510bee79,SSE-320,True,Ethos_U85_SYS_DRAM_Mid_1024,--accelerator-config ethos-u85-1024 --config /opt/arm/ml-embedded-evaluation-kit/scripts/vela/default_vela.ini --system-config Ethos_U85_SYS_DRAM_Mid_1024 --memory-mode Dedicated_Sram --optimise Performance --output-dir /tmp/vela_matrix/rnnoise_INT8__SSE-320__ethos-u85-1024 /opt/arm/ml-embedded-evaluation-kit/resources_downloaded/noise_reduction/rnnoise_INT8.tflite,1000000000.0,29091,31334,157,33040,114.65625,116500,3.304e-05,0.6875,4196,102352,5.0.0
ethos-u85-2048,0.0,0,2048,Dedicated_Sram,rnnoise_INT8,9c582545b7c13af44616c44b654f4fe721aa2585630b0ca173ca3589f6f11c2c,ethos-u85,39,rnnoise_INT8_vela.tflite,0cb89bfa18ffcd82d67b096c2ce3f1eefe2046b4c26175983c9d5837b790a979,SSE-320,True,Ethos_U85_SYS_DRAM_High_2048,--accelerator-config ethos-u85-2048 --config /opt/arm/ml-embedded-evaluation-kit/scripts/vela/default_vela.ini --system-config Ethos_U85_SYS_DRAM_High_2048 --memory-mode Dedicated_Sram --optimise Performance --output-dir /tmp/vela_matrix/rnnoise_INT8__SSE-320__ethos-u85-2048 /opt/arm/ml-embedded-evaluation-kit/resources_downloaded/noise_reduction/rnnoise_INT8.tflite,1000000000.0,36120,32566,71,38779,120.453125,122390,3.8779e-05,0.6875,4196,105408,5.0.0
ethos-u55-32,0.0,0,32,Shared_Sram,kws_micronet_m,c1feed3af5dac44de7477fb4161670ba18a3fc06039e4a14da41b1c4dd454cb4,ethos-u55,13,kws_micronet_m_vela.tflite,09bf0e8f3fc493b2938887584ffb6fd47936c04b6ce44b674f7cff93d58e783f,SSE-300,True,Ethos_U55_High_End_Embedded,--accelerator-config ethos-u55-32 --config /opt/arm/ml-embedded-evaluation-kit/scripts/vela/default_vela.ini --system-config Ethos_U55_High_End_Embedded --memory-mode Shared_Sram --optimise Performance --output-dir /tmp/vela_matrix/kws_micronet_m__SSE-300__ethos-u55-32 /opt/arm/ml-embedded-evaluation-kit/resources_downloaded/kws/kws_micronet_m.tflite,500000000.0,0,1401405,186852,1401405,0.0,0,0.00280281,110.625,1695296,122112,5.0.0
ethos-u55-64,0.0,0,64,Shared_Sram,kws_micronet_m,c1feed3af5dac44de7477fb4161670ba18a3fc06039e4a14da41b1c4dd454cb4,ethos-u55,13,kws_micronet_m_vela.tflite,80e6eab37ccb675ae7028d2844e6207a7d500d4f43536e4ea9749362c6be57ee,SSE-300,True,Ethos_U55_High_End_Embedded,--accelerator-config ethos-u55-64 --config /opt/arm/ml-embedded-evaluation-kit/scripts/vela/default_vela.ini --system-config Ethos_U55_High_End_Embedded --memory-mode Shared_Sram --optimise Performance --output-dir /tmp/vela_matrix/kws_micronet_m__SSE-300__ethos-u55-64 /opt/arm/ml-embedded-evaluation-kit/resources_downloaded/kws/kws_micronet_m.tflite,500000000.0,0,730268,187506,730268,0.0,0,0.001460536,110.71875,1696392,122352,5.0.0
