seq,cell_id,workload,platform,npu,mac_config,memory_mode,timing_adapter,M1_eq_M2_eq_M3,canonical_cycles,npu_active_cycles,npu_idle_cycles,axi0_rd_beats,axi0_wr_beats,axi1_rd_beats,model_sha256,vela_sha256,axf_sha256
63,ad_medium_int8__SSE-320__ethos-u85-1024,ad_medium_int8,SSE-320,ethos-u85,1024,Dedicated_Sram,ON,True,141068,140261,807,,,,a8b1c9037c2a80e6ff770f0a550777cf744a52850bed6545b2bfc9bacf604c98,b83f28f2e5adc7fad13a41441578c95020c9c178e43d52dbf6b2bac2d789bb54,841bade0ca897e877f0c04bbb69521849b27f5aa5057c65d0d07c747f839d09b
64,vww4_128_128_INT8__SSE-320__ethos-u85-1024,vww4_128_128_INT8,SSE-320,ethos-u85,1024,Dedicated_Sram,ON,True,230068,229082,986,,,,5e76364e80c45776b735563679d45f611cab7ce7fef2ec4e2db088afe009ccae,637711c9bb5046bbf7f9010d1e1f1c25e9ea6cf643d74e8eb225c66b4ba6fed7,50abba5cf2fa6ffc71e751657ff40eb410e62cb995e93d5e455f1e3a6ba6aa26
65,yolo-fastest_192_face_v4__SSE-320__ethos-u85-1024,yolo-fastest_192_face_v4,SSE-320,ethos-u85,1024,Dedicated_Sram,ON,True,439074,438859,215,,,,e94bcdb011784bead70ab0c0e9d2dae1a9ea5f103b43e1e6fac3019302cf71ab,aa143485cf3e64da4d46b58fe7cb2dbeab95193740ee0e13815ce3c0bdd1238b,a5db2577558cbe8b7a782ebce6171ea1d10c4583b704d1fefa533dc02b9fc41a
66,mobilenet_v2_1.0_224_INT8__SSE-320__ethos-u85-1024,mobilenet_v2_1.0_224_INT8,SSE-320,ethos-u85,1024,Dedicated_Sram,ON,True,1406068,1405529,539,,,,bd8d56b80557a5fca7acf14f61e5339285c02810f7d7afa714b9763fc4b86e95,031fade0e9b7136e2ed55a23422efbcc7aba28a32c8ebd3e043afbcc2f44bb75,101aba59af42d7b6c3f13e8b6800e4ae905898ba9528ca1e7df61e837405f950
67,wav2letter_pruned_int8__SSE-320__ethos-u85-1024,wav2letter_pruned_int8,SSE-320,ethos-u85,1024,Dedicated_Sram,ON,True,4115068,4114227,841,,,,e0814a0e586f2f2881f7fe96e6bc0b8e4cfecc8d64ced56d8f7ca85b9b7ab257,4c5b640211f0aaa60eaf65ee5c9c4096a43022fd2c34127042e1304bf45def7b,e28c25ae8cbd9ebfca2580afd88c3878c92911e48e50875608bfa8257d028a3b
68,rnnoise_INT8__SSE-320__ethos-u85-2048,rnnoise_INT8,SSE-320,ethos-u85,2048,Dedicated_Sram,ON,True,54086,53012,1074,,,,9c582545b7c13af44616c44b654f4fe721aa2585630b0ca173ca3589f6f11c2c,0cb89bfa18ffcd82d67b096c2ce3f1eefe2046b4c26175983c9d5837b790a979,a3aea1f836b9e58380da1fa965df00ca9898e8ac1516c00224d739808fd30ba0
69,kws_micronet_m__SSE-320__ethos-u85-2048,kws_micronet_m,SSE-320,ethos-u85,2048,Dedicated_Sram,ON,True,67068,66777,291,,,,c1feed3af5dac44de7477fb4161670ba18a3fc06039e4a14da41b1c4dd454cb4,ad756be0f88116bdbcacf23eaf95d3e9d6ad0b4b71205b3c0f58ba514252003d,17dedc201f0864367fea6c542d67ab834e1913a6be532ec68990a099242a52be
70,ad_medium_int8__SSE-320__ethos-u85-2048,ad_medium_int8,SSE-320,ethos-u85,2048,Dedicated_Sram,ON,True,110068,109653,415,,,,a8b1c9037c2a80e6ff770f0a550777cf744a52850bed6545b2bfc9bacf604c98,5d6b0526e6d7c5e26f97f789d68e34f20ffdec7749b9e2ec923efbf2053b5dc4,9d1dfb58684bdb327beec8fdba4757ddc813ced2da6a3b166fb4c5cb06e0cd5c
71,vww4_128_128_INT8__SSE-320__ethos-u85-2048,vww4_128_128_INT8,SSE-320,ethos-u85,2048,Dedicated_Sram,ON,True,214068,213586,482,,,,5e76364e80c45776b735563679d45f611cab7ce7fef2ec4e2db088afe009ccae,c0b82d4d6939c2369fce19b71cfcc41cddb4cb5fc84ae615bce8967cb92ff979,ef963f1912c5449dcd7442e995069770059a8483779a86cea1495983613bc2f1
72,yolo-fastest_192_face_v4__SSE-320__ethos-u85-2048,yolo-fastest_192_face_v4,SSE-320,ethos-u85,2048,Dedicated_Sram,ON,True,355074,354800,274,,,,e94bcdb011784bead70ab0c0e9d2dae1a9ea5f103b43e1e6fac3019302cf71ab,b612256ae8dd9b702d81f8ddf334936d887fda08869fa03221b3bc51e0547b73,7cc70df9a086094d6a6522c5d33d862ce0967fb72f92da6bf604bbd69b7e4356
73,mobilenet_v2_1.0_224_INT8__SSE-320__ethos-u85-2048,mobilenet_v2_1.0_224_INT8,SSE-320,ethos-u85,2048,Dedicated_Sram,ON,True,1067068,1066245,823,,,,bd8d56b80557a5fca7acf14f61e5339285c02810f7d7afa714b9763fc4b86e95,5666f10f9faf582d8322cf85a127ccd74f18e50a3c7ec42868ce123eb1883533,3e0102db84023d6ee490ca4d898cb2a21e2507bd92d95934fb4fb3650b705ba8
74,wav2letter_pruned_int8__SSE-320__ethos-u85-2048,wav2letter_pruned_int8,SSE-320,ethos-u85,2048,Dedicated_Sram,ON,True,2624068,2623033,1035,,,,e0814a0e586f2f2881f7fe96e6bc0b8e4cfecc8d64ced56d8f7ca85b9b7ab257,b9aa7575d5a353d4551eeead152dc62d23496da4c1b6509ba6b048b977add895,f55a1175172a02e20f6e5d11720291fd8b28564ab9f32f45d484286d58b808fc
