seq,cell_id,workload,platform,npu,mac_config,memory_mode,timing_adapter,M1_eq_M2_eq_M3,canonical_cycles,npu_active_cycles,npu_idle_cycles,axi0_rd_beats,axi0_wr_beats,axi1_rd_beats,model_sha256,vela_sha256,axf_sha256
15,ad_medium_int8__SSE-300__ethos-u55-128,ad_medium_int8,SSE-300,ethos-u55,128,Shared_Sram,ON,True,932050,931844,206,467120,138449,56264,a8b1c9037c2a80e6ff770f0a550777cf744a52850bed6545b2bfc9bacf604c98,1e7e4a459f8558ab58f27b37518d93c9a04c3661567357377d96458d6dc5942e,2d76bcbdbb506c2fb494a0fd205ced370f94cae48ad31a2b0ed214be0fbbf4f0
16,vww4_128_128_INT8__SSE-300__ethos-u55-128,vww4_128_128_INT8,SSE-300,ethos-u55,128,Shared_Sram,ON,True,737050,736964,86,232915,161041,41650,5e76364e80c45776b735563679d45f611cab7ce7fef2ec4e2db088afe009ccae,dcbd0bd07fe6b391e4ccab5575b09a0dcbf927d40e4962b4f311451ba5eb7614,aeaf7c5394f11136676a1b9e060981ccf490b152a9a172359bfa9a2ad1e4447d
17,yolo-fastest_192_face_v4__SSE-300__ethos-u55-128,yolo-fastest_192_face_v4,SSE-300,ethos-u55,128,Shared_Sram,ON,True,1993053,1992313,740,621175,427941,46671,e94bcdb011784bead70ab0c0e9d2dae1a9ea5f103b43e1e6fac3019302cf71ab,57ac3cb07347c3b409dc7d031c483325590dd5276444fd51c1cad90112cabf1e,41119e6698f35999d0c169a2b27977e79ac4cbd501ae1a23fd0519a09d7dd2a5
18,mobilenet_v2_1.0_224_INT8__SSE-300__ethos-u55-128,mobilenet_v2_1.0_224_INT8,SSE-300,ethos-u55,128,Shared_Sram,ON,True,7365050,7364988,62,2644727,1304643,434266,bd8d56b80557a5fca7acf14f61e5339285c02810f7d7afa714b9763fc4b86e95,621da9778b5d1410af463cecc251fcf49c12eaab24b115a7aa00f54093d808bf,926d4fb56a733c961894e0f77369404b92432039759efc4c20958f3c951a73c2
19,rnnoise_INT8__SSE-300__ethos-u55-256,rnnoise_INT8,SSE-300,ethos-u55,256,Shared_Sram,ON,True,105059,104364,695,542,386,14165,9c582545b7c13af44616c44b654f4fe721aa2585630b0ca173ca3589f6f11c2c,2fdebe4cbda30f7d2b94668673cf70bdf11b6a745f5970285524c6a0593b4221,7abc302520b5b5667e7f8d9bca0cacfd7f6f789b8afbf109e9a8af1af5c33931
20,kws_micronet_m__SSE-300__ethos-u55-256,kws_micronet_m,SSE-300,ethos-u55,256,Shared_Sram,ON,True,244050,243666,384,92400,48616,17631,c1feed3af5dac44de7477fb4161670ba18a3fc06039e4a14da41b1c4dd454cb4,bfbeaedf0e11e287334519e9347ac74044a7f4b462372c167f5240e755ed02bc,c296fd158f35445e3e5faf0c713856368e799bd1b9e4d9b18b35ccb057ddf4f7
21,ad_medium_int8__SSE-300__ethos-u55-256,ad_medium_int8,SSE-300,ethos-u55,256,Shared_Sram,ON,True,674050,673190,860,369654,138343,56187,a8b1c9037c2a80e6ff770f0a550777cf744a52850bed6545b2bfc9bacf604c98,55604afab6a7778a3186bc4b2ecd0726fec4239bbaeb812d7d9ed52b4a89eded,4ce07f94b2206cefc00204600adfca3918374104d595ad18aeaff5517c2f32ea
22,vww4_128_128_INT8__SSE-300__ethos-u55-256,vww4_128_128_INT8,SSE-300,ethos-u55,256,Shared_Sram,ON,True,577050,576336,714,208799,161079,41767,5e76364e80c45776b735563679d45f611cab7ce7fef2ec4e2db088afe009ccae,cdbbf0c42353b604a8ad08c0f7d6b3430addc9121a7a6a144aaac82b7dc7978f,7c3fcebdc55e6bdfc179427c222ac408c3cf2d53fbc9c1f544a7e65aa9316251
23,yolo-fastest_192_face_v4__SSE-300__ethos-u55-256,yolo-fastest_192_face_v4,SSE-300,ethos-u55,256,Shared_Sram,ON,True,1334053,1333704,349,565453,427987,46803,e94bcdb011784bead70ab0c0e9d2dae1a9ea5f103b43e1e6fac3019302cf71ab,9309bab1b6b60e88192f584d60755620381209166eacbc8e64109abe5b12552b,274d2cf087c1f01b998c34be61fca0478de1d837f50c901e020fae16420677c2
24,mobilenet_v2_1.0_224_INT8__SSE-300__ethos-u55-256,mobilenet_v2_1.0_224_INT8,SSE-300,ethos-u55,256,Shared_Sram,ON,True,5474050,5473985,65,2159849,1304743,434483,bd8d56b80557a5fca7acf14f61e5339285c02810f7d7afa714b9763fc4b86e95,43a89ba81b5c0380c826fa90e0260387877e6adb466a1d2da867445ee2b23475,df627c37ec305803fef44f7249e5182eea0bee9fbd97996255880332328ec3cd
25,wav2letter_pruned_int8__SSE-300__ethos-u55-256,wav2letter_pruned_int8,SSE-300,ethos-u55,256,Shared_Sram,ON,True,15335050,15334328,722,6941179,1853478,1732537,e0814a0e586f2f2881f7fe96e6bc0b8e4cfecc8d64ced56d8f7ca85b9b7ab257,ac0debf0ceaa7d045528fe3dd619e8a26445aa0ef02eb04431294acdc761bda2,31d74e4a0bc011c079d3b4192f1683e93a9f4ed909ae57515c5ae06858107eaf
26,rnnoise_INT8__SSE-300__ethos-u65-256,rnnoise_INT8,SSE-300,ethos-u65,256,Dedicated_Sram,ON,True,65086,64533,553,207,179,7163,9c582545b7c13af44616c44b654f4fe721aa2585630b0ca173ca3589f6f11c2c,adbda150d7ef0c99ce65f699bb0dbc818fa50b6ea073c0386c472187a3af1b33,945b6aa508212c20680faec133dd8ea84510ce9159b2f89fd7099962ef35f5f6
27,kws_micronet_m__SSE-300__ethos-u65-256,kws_micronet_m,SSE-300,ethos-u65,256,Dedicated_Sram,ON,True,217068,216553,515,44310,23393,10173,c1feed3af5dac44de7477fb4161670ba18a3fc06039e4a14da41b1c4dd454cb4,8b7930df8bb7ff522beb03199b725cf3a920fe6cf465df13a880d0f87a202d74,7ce3fcd24a05f4e99c3ba882353655713c510572ace43f3c3675f0b3cf227cdc
28,ad_medium_int8__SSE-300__ethos-u65-256,ad_medium_int8,SSE-300,ethos-u65,256,Dedicated_Sram,ON,True,471068,470324,744,158680,57154,28184,a8b1c9037c2a80e6ff770f0a550777cf744a52850bed6545b2bfc9bacf604c98,a18115c749b13ab554dc75239523f7a3ea56650fd4f3990ffde2573702cdfe57,b5af59a8fa5fa9cdebb1badf724d63cfb15f3b586ffbc46c603d9625ccead0a1
29,vww4_128_128_INT8__SSE-300__ethos-u65-256,vww4_128_128_INT8,SSE-300,ethos-u65,256,Dedicated_Sram,ON,True,417068,416424,644,75727,64279,22045,5e76364e80c45776b735563679d45f611cab7ce7fef2ec4e2db088afe009ccae,bde9a9b568d0f1cb5a2bae1e4cc4ca80776244067200d8d00fdc42d1c0d9c05c,da8f3de288b231e226bf3d1aec62a4ab3ccb88d137bc31f1dacfeec0b1b08ea5
30,yolo-fastest_192_face_v4__SSE-300__ethos-u65-256,yolo-fastest_192_face_v4,SSE-300,ethos-u65,256,Dedicated_Sram,ON,True,1119074,1118037,1037,256151,199502,26374,e94bcdb011784bead70ab0c0e9d2dae1a9ea5f103b43e1e6fac3019302cf71ab,b8c58e0f7d5c416a117cdd288f2e5191a96a23ee4f7f6947ed0367c4902302d7,0a51223e058b5525bebd3c0ed5e4dbd4cb9ce51da8011a232bfcc55bedf6ac3b
