cell_id,workload,platform,npu,mac_config,memory_mode,timing_adapter,universe,classification,reason
vww4_128_128_INT8__SSE-320__ethos-u85-1024,vww4_128_128_INT8,SSE-320,ethos-u85,1024,Dedicated_Sram,ON,PRIMARY_BENCHMARK,EXECUTABLE,RAN_AT_DEFAULT_ARENA
wav2letter_pruned_int8__SSE-320__ethos-u85-1024,wav2letter_pruned_int8,SSE-320,ethos-u85,1024,Dedicated_Sram,ON,PRIMARY_BENCHMARK,EXECUTABLE,RAN_AT_DEFAULT_ARENA
yolo-fastest_192_face_v4__SSE-320__ethos-u85-1024,yolo-fastest_192_face_v4,SSE-320,ethos-u85,1024,Dedicated_Sram,ON,PRIMARY_BENCHMARK,EXECUTABLE,RAN_AT_DEFAULT_ARENA
ad_medium_int8__SSE-320__ethos-u85-2048,ad_medium_int8,SSE-320,ethos-u85,2048,Dedicated_Sram,ON,PRIMARY_BENCHMARK,EXECUTABLE,RAN_AT_DEFAULT_ARENA
kws_micronet_m__SSE-320__ethos-u85-2048,kws_micronet_m,SSE-320,ethos-u85,2048,Dedicated_Sram,ON,PRIMARY_BENCHMARK,EXECUTABLE,RAN_AT_DEFAULT_ARENA
mobilenet_v2_1.0_224_INT8__SSE-320__ethos-u85-2048,mobilenet_v2_1.0_224_INT8,SSE-320,ethos-u85,2048,Dedicated_Sram,ON,PRIMARY_BENCHMARK,EXECUTABLE,RAN_AT_DEFAULT_ARENA
rnnoise_INT8__SSE-320__ethos-u85-2048,rnnoise_INT8,SSE-320,ethos-u85,2048,Dedicated_Sram,ON,PRIMARY_BENCHMARK,EXECUTABLE,RAN_AT_DEFAULT_ARENA
vww4_128_128_INT8__SSE-320__ethos-u85-2048,vww4_128_128_INT8,SSE-320,ethos-u85,2048,Dedicated_Sram,ON,PRIMARY_BENCHMARK,EXECUTABLE,RAN_AT_DEFAULT_ARENA
wav2letter_pruned_int8__SSE-320__ethos-u85-2048,wav2letter_pruned_int8,SSE-320,ethos-u85,2048,Dedicated_Sram,ON,PRIMARY_BENCHMARK,EXECUTABLE,RAN_AT_DEFAULT_ARENA
yolo-fastest_192_face_v4__SSE-320__ethos-u85-2048,yolo-fastest_192_face_v4,SSE-320,ethos-u85,2048,Dedicated_Sram,ON,PRIMARY_BENCHMARK,EXECUTABLE,RAN_AT_DEFAULT_ARENA
