cell_id,workload,platform,npu,mac_config,memory_mode,timing_adapter,universe,classification,reason
ad_medium_int8__SSE-300__ethos-u65-256,ad_medium_int8,SSE-300,ethos-u65,256,Dedicated_Sram,ON,PRIMARY_BENCHMARK,EXECUTABLE,RAN_AT_DEFAULT_ARENA
kws_micronet_m__SSE-300__ethos-u65-256,kws_micronet_m,SSE-300,ethos-u65,256,Dedicated_Sram,ON,PRIMARY_BENCHMARK,EXECUTABLE,RAN_AT_DEFAULT_ARENA
mobilenet_v2_1.0_224_INT8__SSE-300__ethos-u65-256,mobilenet_v2_1.0_224_INT8,SSE-300,ethos-u65,256,Dedicated_Sram,ON,PRIMARY_BENCHMARK,EXECUTABLE,RAN_AT_DEFAULT_ARENA
rnnoise_INT8__SSE-300__ethos-u65-256,rnnoise_INT8,SSE-300,ethos-u65,256,Dedicated_Sram,ON,PRIMARY_BENCHMARK,EXECUTABLE,RAN_AT_DEFAULT_ARENA
vww4_128_128_INT8__SSE-300__ethos-u65-256,vww4_128_128_INT8,SSE-300,ethos-u65,256,Dedicated_Sram,ON,PRIMARY_BENCHMARK,EXECUTABLE,RAN_AT_DEFAULT_ARENA
wav2letter_pruned_int8__SSE-300__ethos-u65-256,wav2letter_pruned_int8,SSE-300,ethos-u65,256,Dedicated_Sram,ON,PRIMARY_BENCHMARK,EXECUTABLE,RAN_AT_DEFAULT_ARENA
yolo-fastest_192_face_v4__SSE-300__ethos-u65-256,yolo-fastest_192_face_v4,SSE-300,ethos-u65,256,Dedicated_Sram,ON,PRIMARY_BENCHMARK,EXECUTABLE,RAN_AT_DEFAULT_ARENA
ad_medium_int8__SSE-300__ethos-u65-512,ad_medium_int8,SSE-300,ethos-u65,512,Dedicated_Sram,ON,PRIMARY_BENCHMARK,EXECUTABLE,RAN_AT_DEFAULT_ARENA
kws_micronet_m__SSE-300__ethos-u65-512,kws_micronet_m,SSE-300,ethos-u65,512,Dedicated_Sram,ON,PRIMARY_BENCHMARK,EXECUTABLE,RAN_AT_DEFAULT_ARENA
mobilenet_v2_1.0_224_INT8__SSE-300__ethos-u65-512,mobilenet_v2_1.0_224_INT8,SSE-300,ethos-u65,512,Dedicated_Sram,ON,PRIMARY_BENCHMARK,EXECUTABLE,RAN_AT_DEFAULT_ARENA
rnnoise_INT8__SSE-300__ethos-u65-512,rnnoise_INT8,SSE-300,ethos-u65,512,Dedicated_Sram,ON,PRIMARY_BENCHMARK,EXECUTABLE,RAN_AT_DEFAULT_ARENA
vww4_128_128_INT8__SSE-300__ethos-u65-512,vww4_128_128_INT8,SSE-300,ethos-u65,512,Dedicated_Sram,ON,PRIMARY_BENCHMARK,EXECUTABLE,RAN_AT_DEFAULT_ARENA
wav2letter_pruned_int8__SSE-300__ethos-u65-512,wav2letter_pruned_int8,SSE-300,ethos-u65,512,Dedicated_Sram,ON,PRIMARY_BENCHMARK,EXECUTABLE,RAN_AT_DEFAULT_ARENA
yolo-fastest_192_face_v4__SSE-300__ethos-u65-512,yolo-fastest_192_face_v4,SSE-300,ethos-u65,512,Dedicated_Sram,ON,PRIMARY_BENCHMARK,EXECUTABLE,RAN_AT_DEFAULT_ARENA
ad_medium_int8__SSE-310__ethos-u55-32,ad_medium_int8,SSE-310,ethos-u55,32,Shared_Sram,OFF,TA_OFF_DIAGNOSTIC,EXECUTABLE,RAN_AT_DEFAULT_ARENA
kws_micronet_m__SSE-310__ethos-u55-32,kws_micronet_m,SSE-310,ethos-u55,32,Shared_Sram,OFF,TA_OFF_DIAGNOSTIC,EXECUTABLE,RAN_AT_DEFAULT_ARENA
mobilenet_v2_1.0_224_INT8__SSE-310__ethos-u55-32,mobilenet_v2_1.0_224_INT8,SSE-310,ethos-u55,32,Shared_Sram,OFF,TA_OFF_DIAGNOSTIC,EXECUTABLE,RAN_AT_DEFAULT_ARENA
rnnoise_INT8__SSE-310__ethos-u55-32,rnnoise_INT8,SSE-310,ethos-u55,32,Shared_Sram,OFF,TA_OFF_DIAGNOSTIC,EXECUTABLE,RAN_AT_DEFAULT_ARENA
vww4_128_128_INT8__SSE-310__ethos-u55-32,vww4_128_128_INT8,SSE-310,ethos-u55,32,Shared_Sram,OFF,TA_OFF_DIAGNOSTIC,EXECUTABLE,RAN_AT_DEFAULT_ARENA
wav2letter_pruned_int8__SSE-310__ethos-u55-32,wav2letter_pruned_int8,SSE-310,ethos-u55,32,Shared_Sram,OFF,TA_OFF_DIAGNOSTIC,NOT_EXECUTABLE_MEMORY,RETRY_LINK_REGION_OVERFLOW
yolo-fastest_192_face_v4__SSE-310__ethos-u55-32,yolo-fastest_192_face_v4,SSE-310,ethos-u55,32,Shared_Sram,OFF,TA_OFF_DIAGNOSTIC,EXECUTABLE,RAN_AT_DEFAULT_ARENA
ad_medium_int8__SSE-310__ethos-u55-64,ad_medium_int8,SSE-310,ethos-u55,64,Shared_Sram,OFF,TA_OFF_DIAGNOSTIC,EXECUTABLE,RAN_AT_DEFAULT_ARENA
kws_micronet_m__SSE-310__ethos-u55-64,kws_micronet_m,SSE-310,ethos-u55,64,Shared_Sram,OFF,TA_OFF_DIAGNOSTIC,EXECUTABLE,RAN_AT_DEFAULT_ARENA
