workload,B1,B2,B3,canonical_median
rnnoise_INT8,55151,55149,54672,55149
kws_micronet_m,97362,96841,97427,97362
ad_medium_int8,152977,151876,151918,151918
vww4_128_128_INT8,239394,240725,238765,239394
yolo-fastest_192_face_v4,455358,453389,452701,453389
mobilenet_v2_1.0_224_INT8,1453996,1452766,1456450,1453996
wav2letter_pruned_int8,4136849,4136385,4141149,4136849
