cell,c0_vela_sha256,c0_cms_sha256,c0_cmds,a_cms_sha256,b_cms_sha256,irqs_a,irqs_b,roundtrip_identity,strip_a_eq_c0,strip_b_eq_c0,boundary_positions_match,boundary_params_match,instrumented_stream_byte_identical
kws_micronet_m,778a35f82a14b31dfa262aa15a6046cad74b60a07c4f6930286da707d79245e9,d60b9c6ab2290cbd5507ad1a069607177916325683b87cc23db0cc79eefe83c8,365,ec11b92004f71337595d9d8c2e85424a91f2d56d5568e0b29649c3427d074105,ec11b92004f71337595d9d8c2e85424a91f2d56d5568e0b29649c3427d074105,14,14,1,1,1,1,1,1
rnnoise_INT8,a89e6be8510a4e477c02916fccefe46faf29df15f2149e0fc9e2797764af15bd,346fc9ec823ad6096afb3e79f7f1194f7b852febf57aaa69c47b23ddc5b3a369,797,7cbb292bee1a2693583b5b800006bcbaba138adb6e49cef70844609674ebb65d,7cbb292bee1a2693583b5b800006bcbaba138adb6e49cef70844609674ebb65d,46,46,1,1,1,1,1,1
